행정기관,성별,연령,인구수,연령대
서울특별시,남자,20~29세,689280,20~30
서울특별시,남자,30~39세,720614,20~30
서울특별시,남자,40~49세,736322,40~50
서울특별시,남자,50~59세,742615,40~50
서울특별시,남자,60~69세,606204,60+
서울특별시,남자,70~79세,317028,60+
서울특별시,남자,80~89세,114953,60+
서울특별시,남자,90~99세,10482,60+
서울특별시,남자,100세 이상,580,60+
부산광역시,남자,20~29세,217496,20~30
부산광역시,남자,30~39세,208912,20~30
부산광역시,남자,40~49세,253605,40~50
부산광역시,남자,50~59세,270760,40~50
부산광역시,남자,60~69세,258529,60+
부산광역시,남자,70~79세,134136,60+
부산광역시,남자,80~89세,44446,60+
부산광역시,남자,90~99세,3243,60+
부산광역시,남자,100세 이상,134,60+
대구광역시,남자,20~29세,166160,20~30
대구광역시,남자,30~39세,150026,20~30
대구광역시,남자,40~49세,184278,40~50
대구광역시,남자,50~59세,205661,40~50
대구광역시,남자,60~69세,162305,60+
대구광역시,남자,70~79세,77699,60+
대구광역시,남자,80~89세,28993,60+
대구광역시,남자,90~99세,2133,60+
대구광역시,남자,100세 이상,64,60+
인천광역시,남자,20~29세,204435,20~30
인천광역시,남자,30~39세,207990,20~30
인천광역시,남자,40~49세,246041,40~50
인천광역시,남자,50~59세,254827,40~50
인천광역시,남자,60~69세,196006,60+
인천광역시,남자,70~79세,81965,60+
인천광역시,남자,80~89세,28577,60+
인천광역시,남자,90~99세,2706,60+
인천광역시,남자,100세 이상,118,60+
광주광역시,남자,20~29세,108373,20~30
광주광역시,남자,30~39세,93104,20~30
광주광역시,남자,40~49세,117445,40~50
광주광역시,남자,50~59세,116640,40~50
광주광역시,남자,60~69세,81641,60+
광주광역시,남자,70~79세,41862,60+
광주광역시,남자,80~89세,15104,60+
광주광역시,남자,90~99세,1311,60+
광주광역시,남자,100세 이상,31,60+
대전광역시,남자,20~29세,110358,20~30
대전광역시,남자,30~39세,99571,20~30
대전광역시,남자,40~49세,115348,40~50
대전광역시,남자,50~59세,119969,40~50
대전광역시,남자,60~69세,91878,60+
대전광역시,남자,70~79세,42039,60+
대전광역시,남자,80~89세,15516,60+
대전광역시,남자,90~99세,1393,60+
대전광역시,남자,100세 이상,37,60+
울산광역시,남자,20~29세,78125,20~30
울산광역시,남자,30~39세,77521,20~30
울산광역시,남자,40~49세,94080,40~50
울산광역시,남자,50~59세,105071,40~50
울산광역시,남자,60~69세,77844,60+
울산광역시,남자,70~79세,29827,60+
울산광역시,남자,80~89세,8081,60+
울산광역시,남자,90~99세,545,60+
울산광역시,남자,100세 이상,11,60+
세종특별자치시,남자,20~29세,19567,20~30
세종특별자치시,남자,30~39세,29844,20~30
세종특별자치시,남자,40~49세,36446,40~50
세종특별자치시,남자,50~59세,25178,40~50
세종특별자치시,남자,60~69세,16447,60+
세종특별자치시,남자,70~79세,6845,60+
세종특별자치시,남자,80~89세,2556,60+
세종특별자치시,남자,90~99세,266,60+
세종특별자치시,남자,100세 이상,9,60+
경기도,남자,20~29세,951808,20~30
경기도,남자,30~39세,982214,20~30
경기도,남자,40~49세,1166569,40~50
경기도,남자,50~59세,1148042,40~50
경기도,남자,60~69세,823516,60+
경기도,남자,70~79세,352051,60+
