날짜,조사날짜,갤럽,리얼미터
2017년 5월 5주,2017-05-28,NA,78.1
2017년 6월 1주,2017-06-01,84,78.9
2017년 6월 2주,2017-06-04,82,75.6
2017년 6월 3주,2017-06-11,83,74.2
2017년 6월 4주,2017-06-18,79,75.3
2017년 7월 1주,2017-07-01,83,76.6
2017년 7월 2주,2017-07-02,80,74.6
2017년 7월 3주,2017-07-09,74,72.4
2017년 7월 4주,2017-07-16,77,74
2017년 8월 1주,2017-08-01,77,72.5
2017년 8월 2주,2017-08-06,78,71.8
2017년 8월 3주,2017-08-13,78,72.4
2017년 8월 4주,2017-08-20,79,73.9
2017년 8월 5주,2017-08-27,76,73.1
2017년 9월 1주,2017-09-01,72,69.1
2017년 9월 2주,2017-09-03,69,67.1
2017년 9월 3주,2017-09-10,70,65.6
2017년 9월 4주,2017-09-17,65,67.7
2017년 10월 1주,2017-10-01,NA,NA
2017년 10월 2주,2017-10-08,73,68.5
2017년 10월 3주,2017-10-15,70,67.8
2017년 10월 4주,2017-10-22,73,67.2
2017년 11월 1주,2017-11-01,73,70.3
2017년 11월 2주,2017-11-05,74,70.1
2017년 11월 3주,2017-11-12,73,71.6
2017년 11월 4주,2017-11-19,72,73
2017년 11월 5주,2017-11-26,75,71.5
2017년 12월 1주,2017-12-01,74,70.8
2017년 12월 2주,2017-12-03,70,68.6
2017년 12월 3주,2017-12-10,NA,69.9
2017년 12월 4주,2017-12-17,NA,68.5
2018년 1월 1주,2018-01-01,72,71.6
2018년 1월 2주,2018-01-08,73,70.6
2018년 1월 3주,2018-01-15,67,66
2018년 1월 4주,2018-01-22,64,60.8
2018년 2월 1주,2018-02-01,63,63.5
2018년 2월 2주,2018-02-05,63,63.5
2018년 2월 3주,2018-02-12,NA,63.1
2018년 2월 4주,2018-02-19,68,65.7
2018년 2월 5주,2018-02-26,64,66.5
2018년 3월 1주,2018-03-01,71,65.8
2018년 3월 2주,2018-03-05,74,69.6
2018년 3월 3주,2018-03-12,71,69.1
2018년 3월 4주,2018-03-19,70,69.5
2018년 4월 1주,2018-04-01,74,68.1
2018년 4월 2주,2018-04-02,72,66.8
2018년 4월 3주,2018-04-09,70,67.8
2018년 4월 4주,2018-04-16,73,70
2018년 5월 1주,2018-05-01,83,77.4
2018년 5월 2주,2018-05-07,78,76.3
2018년 5월 5주,2018-05-28,75,71.4
2018년 6월 1주,2018-06-01,NA,NA
2018년 6월 2주,2018-06-04,79,75.9
2018년 6월 3주,2018-06-11,75,75.4
2018년 6월 4주,2018-06-18,73,71.5
2018년 7월 1주,2018-07-01,71,69.3
2018년 7월 2주,2018-07-02,69,68.1
2018년 7월 3주,2018-07-09,67,62.9
2018년 7월 4주,2018-07-16,62,61.1
2018년 8월 1주,2018-08-01,60,63.2
2018년 8월 2주,2018-08-06,58,58.1
2018년 8월 3주,2018-08-13,60,56.3
2018년 8월 4주,2018-08-20,56,56
2018년 8월 5주,2018-08-27,53,55.2
2018년 9월 1주,2018-09-01,49,53.5
2018년 9월 2주,2018-09-03,50,53.1
2018년 9월 3주,2018-09-10,61,61.9
2018년 9월 4주,2018-09-17,NA,65.3
2018년 10월 1주,2018-10-01,64,62.7
2018년 10월 2주,2018-10-08,65,61.9
2018년 10월 3주,2018-10-15,62,60.4
2018년 10월 4주,2018-10-22,58,58.7
2018년 10월 5주,2018-10-29,55,55.6
2018년 11월 1주,2018-11-01,54,55.4
2018년 11월 2주,2018-11-05,52,53.7
2018년 11월 3주,2018-11-12,53,52
2018년 11월 4주,2018-11-19,53,48.4
2018년 12월 1주,2018-12-01,49,49.5
2018년 12월 2주,2018-12-03,45,48.5
2018년 12월 3주,2018-12-10,45,47.1
2018년 12월 4주,2018-12-17,NA,45.9
2019년 1월 1주,2019-01-01,NA,46.4
2019년 1월 2주,2019-01-08,48,49.6
2019년 1월 3주,2019-01-15,47,49.1
2019년 1월 4주,2019-01-22,46,47.7
2019년 1월 5주,2019-01-29,47,48.8
2019년 2월 1주,2019-02-01,NA,50.4
2019년 2월 2주,2019-02-05,47,49.8
2019년 2월 3주,2019-02-12,45,51
2019년 2월 4주,2019-02-19,49,49.4
2019년 3월 1주,2019-03-01,46,46.3
2019년 3월 2주,2019-03-05,44,44.9
2019년 3월 3주,2019-03-12,45,47.1
2019년 3월 4주,2019-03-19,43,47.7
2019년 4월 1주,2019-04-01,41,47.3
2019년 4월 2주,2019-04-02,47,48
2019년 4월 3주,2019-04-09,48,48.2
2019년 4월 4주,2019-04-16,44,47.4
2019년 5월 1주,2019-05-01,45,49.1
2019년 5월 2주,2019-05-07,47,48.6
2019년 5월 5주,2019-05-28,45,48.3
2019년 6월 1주,2019-06-01,46,48
2019년 6월 2주,2019-06-04,47,49.5
2019년 6월 3주,2019-06-11,45,46.7
2019년 6월 4주,2019-06-18,46,47.6
2019년 7월 1주,2019-07-01,49,51.3
2019년 7월 2주,2019-07-02,45,47.8
2019년 7월 3주,2019-07-09,48,51.8
2019년 7월 4주,2019-07-16,48,52.1
2019년 7월 5주,2019-07-23,48,49.9
2019년 8월 1주,2019-08-01,47,50.4
2019년 8월 2주,2019-08-06,NA,49.4
2019년 8월 3주,2019-08-13,45,46.2
2019년 8월 4주,2019-08-20,44,46.5
2019년 9월 1주,2019-09-01,43,46.3
2019년 9월 2주,2019-09-03,NA,47.2
2019년 9월 3주,2019-09-10,40,45.2
2019년 9월 4주,2019-09-17,41,47.3
2019년 10월 1주,2019-10-01,42,44.4
2019년 10월 2주,2019-10-08,43,41.4
2019년 10월 3주,2019-10-15,39,45
2019년 10월 4주,2019-10-22,41,45.7
2019년 10월 5주,2019-10-29,44,47.5
2019년 11월 1주,2019-11-01,45,44.5
2019년 11월 2주,2019-11-05,46,47.8
2019년 11월 3주,2019-11-12,45,46.9
