시도코드,시도명,시도,구시군코드,구시군명
1100,서울특별시,서울,1101,종로구
1100,서울특별시,서울,1102,중구
1100,서울특별시,서울,1103,용산구
1100,서울특별시,서울,1104,성동구
1100,서울특별시,서울,1105,광진구
1100,서울특별시,서울,1106,동대문구
1100,서울특별시,서울,1107,중랑구
1100,서울특별시,서울,1108,성북구
1100,서울특별시,서울,1109,강북구
1100,서울특별시,서울,1110,도봉구
1100,서울특별시,서울,1111,노원구
1100,서울특별시,서울,1112,은평구
1100,서울특별시,서울,1113,서대문구
1100,서울특별시,서울,1114,마포구
1100,서울특별시,서울,1115,양천구
1100,서울특별시,서울,1116,강서구
1100,서울특별시,서울,1117,구로구
1100,서울특별시,서울,1118,금천구
1100,서울특별시,서울,1119,영등포구
1100,서울특별시,서울,1120,동작구
1100,서울특별시,서울,1121,관악구
1100,서울특별시,서울,1122,서초구
1100,서울특별시,서울,1123,강남구
1100,서울특별시,서울,1124,송파구
1100,서울특별시,서울,1125,강동구
2600,부산광역시,부산,2601,중구
2600,부산광역시,부산,2602,서구
2600,부산광역시,부산,2603,동구
2600,부산광역시,부산,2604,영도구
2600,부산광역시,부산,2605,부산진구
2600,부산광역시,부산,2606,동래구
2600,부산광역시,부산,2607,남구
2600,부산광역시,부산,2608,북구
2600,부산광역시,부산,2609,해운대구
2600,부산광역시,부산,2610,기장군
2600,부산광역시,부산,2611,사하구
2600,부산광역시,부산,2612,금정구
2600,부산광역시,부산,2613,강서구
2600,부산광역시,부산,2614,연제구
2600,부산광역시,부산,2615,수영구
2600,부산광역시,부산,2616,사상구
2700,대구광역시,대구,2701,중구
2700,대구광역시,대구,2702,동구
2700,대구광역시,대구,2703,서구
2700,대구광역시,대구,2704,남구
2700,대구광역시,대구,2705,북구
2700,대구광역시,대구,2706,수성구
2700,대구광역시,대구,2707,달서구
2700,대구광역시,대구,2708,달성군
2800,인천광역시,인천,2801,중구
2800,인천광역시,인천,2802,동구
2800,인천광역시,인천,2803,남구
2800,인천광역시,인천,2804,연수구
2800,인천광역시,인천,2805,남동구
2800,인천광역시,인천,2806,부평구
2800,인천광역시,인천,2807,계양구
2800,인천광역시,인천,2808,서구
2800,인천광역시,인천,2809,강화군
2800,인천광역시,인천,2810,옹진군
2900,광주광역시,광주,2901,동구
2900,광주광역시,광주,2902,서구
2900,광주광역시,광주,2903,남구
2900,광주광역시,광주,2904,북구
2900,광주광역시,광주,2905,광산구
3000,대전광역시,대전,3001,동구
3000,대전광역시,대전,3002,중구
3000,대전광역시,대전,3003,서구
3000,대전광역시,대전,3004,유성구
3000,대전광역시,대전,3005,대덕구
3100,울산광역시,울산,3101,중구
3100,울산광역시,울산,3102,남구
3100,울산광역시,울산,3103,동구
3100,울산광역시,울산,3104,북구
3100,울산광역시,울산,3105,울주군
5100,세종특별자치시,세종,5101,세종특별자치시
4100,경기도,경기,4101,수원시장안구
4100,경기도,경기,4102,수원시권선구
4100,경기도,경기,4103,수원시팔달구
4100,경기도,경기,4104,수원시영통구
4100,경기도,경기,4105,성남시수정구
4100,경기도,경기,4106,성남시중원구
4100,경기도,경기,4107,성남시분당구
4100,경기도,경기,4108,의정부시
4100,경기도,경기,4109,안양시만안구
4100,경기도,경기,4110,안양시동안구
4100,경기도,경기,4145,부천시
4100,경기도,경기,4114,광명시
4100,경기도,경기,4115,평택시
4100,경기도,경기,4116,양주시
4100,경기도,경기,4117,동두천시
4100,경기도,경기,4118,안산시상록구
4100,경기도,경기,4119,안산시단원구
4100,경기도,경기,4120,고양시덕양구
4100,경기도,경기,4121,고양시일산동구
4100,경기도,경기,4122,고양시일산서구
4100,경기도,경기,4123,과천시
4100,경기도,경기,4124,의왕시
4100,경기도,경기,4125,구리시
4100,경기도,경기,4126,남양주시
4100,경기도,경기,4127,오산시
4100,경기도,경기,4128,화성시
4100,경기도,경기,4129,시흥시
4100,경기도,경기,4130,군포시
4100,경기도,경기,4131,하남시
4100,경기도,경기,4132,파주시
4100,경기도,경기,4133,여주시
4100,경기도,경기,4134,이천시
4100,경기도,경기,4135,용인시처인구
4100,경기도,경기,4136,용인시수지구
4100,경기도,경기,4137,용인시기흥구
4100,경기도,경기,4138,안성시
4100,경기도,경기,4139,김포시
4100,경기도,경기,4140,광주시
4100,경기도,경기,4141,포천시
4100,경기도,경기,4142,연천군
4100,경기도,경기,4143,양평군
4100,경기도,경기,4144,가평군
4200,강원도,강원,4201,춘천시
4200,강원도,강원,4202,원주시
4200,강원도,강원,4203,강릉시
4200,강원도,강원,4204,동해시
4200,강원도,강원,4205,삼척시
4200,강원도,강원,4206,태백시
4200,강원도,강원,4207,정선군
4200,강원도,강원,4208,속초시
4200,강원도,강원,4209,고성군
4200,강원도,강원,4210,양양군
4200,강원도,강원,4211,인제군
4200,강원도,강원,4212,홍천군
4200,강원도,강원,4213,횡성군
4200,강원도,강원,4214,영월군
4200,강원도,강원,4215,평창군
4200,강원도,강원,4216,화천군
4200,강원도,강원,4217,양구군
4200,강원도,강원,4218,철원군
4300,충청북도,충북,4301,청주시상당구
4300,충청북도,충북,4314,청주시서원구
